time(s),trig_fname18,10,11,12,13,14,15,16,17,18,trig_fname29,0.5 5.8_fname20,1.5 5.8_fname21,off off_fname22,0.5 30_fname25,0.5 55_fname27,0.5 15_fname28,0.5 off_fname29,trig_fname34,1_lpm_fname30,1.5_lpm_fname31,0.5_lpm_fname32,2_lpm_fname33,0lpm_fname34
15.84,0.032,0.0052106667,0.019656,0.0002133333,0.0002133333,0.005616,0.0047386667,0.004168,0.0089973333,0.003816,0.0312,-0.0190666667,-0.024,0.0107333333,-0.0247066667,-0.0117533333,-0.0110666667,-0.00582,0.0312,0.021164,0.018232,-0.000144,0.000088,0.0294533333
15.86,0.0328,0.0051706667,0.019696,5.33333333333E-005,5.33333333333E-005,0.00556,0.0046906667,0.004224,0.0088293333,0.003832,0.032,-0.0191666667,-0.02404,0.0106733333,-0.0248466667,-0.0117533333,-0.0111266667,-0.00594,0.032,0.021036,0.01822,-0.000136,0.000104,0.0295533333
15.88,0.032,0.0050986667,0.019672,6.13333333333E-005,6.13333333333E-005,0.00556,0.0045466667,0.004008,0.0088373333,0.003872,0.032,-0.0192866667,-0.02404,0.0106133333,-0.0249466667,-0.0117933333,-0.0112666667,-0.00612,0.032,0.020996,0.01818,-0.000136,0.000112,0.0296733333
15.9,0.032,0.0050346667,0.019728,5.33333333331E-006,5.33333333331E-006,0.005448,0.0043626667,0.00396,0.0087973333,0.00368,0.032,-0.0193866667,-0.02406,0.0105533333,-0.0250466667,-0.0118333333,-0.0113666667,-0.0063,0.032,0.020912,0.018152,-0.000152,0.0001,0.0297933333
15.92,0.0312,0.0049466667,0.019776,-6.66666666667E-005,-6.66666666667E-005,0.00544,0.0042906667,0.003776,0.0088613333,0.003648,0.0312,-0.0195066667,-0.02408,0.0104933333,-0.0252066667,-0.0118333333,-0.0114866667,-0.0065,0.032,0.020808,0.01806,-0.000144,0.0001,0.0298933333
15.94,0.032,0.0048106667,0.019768,-0.0001226667,-0.0001226667,0.005512,0.0041066667,0.003584,0.0087573333,0.003592,0.0312,-0.0196666667,-0.0241,0.0104133333,-0.0253066667,-0.0118333333,-0.0115666667,-0.00668,0.032,0.020696,0.018032,-0.000152,0.000092,0.0300333333
15.96,0.032,0.0047306667,0.019776,-0.0002186667,-0.0002186667,0.005512,0.0040106667,0.0036,0.0085653333,0.003488,0.0304,-0.0198066667,-0.02414,0.0103333333,-0.0254466667,-0.0118533333,-0.0116866667,-0.00688,0.032,0.020688,0.018012,-0.000152,0.000096,0.0301333333
15.98,0.032,0.0046826667,0.019816,-0.0001626667,-0.0001626667,0.00544,0.0040106667,0.003648,0.0083813333,0.003448,0.032,-0.0199266667,-0.02414,0.0103133333,-0.0255466667,-0.0118733333,-0.0117266667,-0.007,0.032,0.02068,0.017976,-0.000152,0.000104,0.0302333333
16,0.032,0.0046186667,0.01976,-0.0003066667,-0.0003066667,0.005368,0.0039706667,0.003472,0.0081573333,0.00328,0.032,-0.0201066667,-0.02418,0.0102533333,-0.0256466667,-0.0118733333,-0.0118066667,-0.00716,0.032,0.020632,0.01794,-0.000156,0.000104,0.0303533333
16.02,0.032,0.0045146667,0.019944,-0.0003706667,-0.0003706667,0.005376,0.0039626667,0.003304,0.0081173333,0.003168,0.032,-0.0202066667,-0.02422,0.0101933333,-0.0257466667,-0.0119333333,-0.0119066667,-0.00734,0.032,0.020616,0.017884,-0.00016,0.000108,0.0304533333
16.04,0.032,0.0043786667,0.020056,-0.0004506667,-0.0004506667,0.005264,0.0038666667,0.003264,0.0081973333,0.003144,0.032,-0.0203066667,-0.02416,0.0101333333,-0.0258466667,-0.0119333333,-0.0120066667,-0.00746,0.032,0.020504,0.017868,-0.000152,0.000112,0.0305733333
16.06,0.0312,0.0042426667,0.02032,-0.0005706667,-0.0005706667,0.005272,0.0038506667,0.003272,0.0081653333,0.003,0.0304,-0.0204266667,-0.02424,0.0100533333,-0.0259666667,-0.0119533333,-0.0120466667,-0.0076,0.032,0.020356,0.017788,-0.000144,0.000112,0.0306733333
16.08,0.032,0.0040426667,0.020424,-0.0006346667,-0.0006346667,0.005296,0.0037466667,0.003168,0.0082373333,0.003152,0.0304,-0.0205466667,-0.02424,0.0099933333,-0.0260866667,-0.0119533333,-0.0121266667,-0.00776,0.032,0.02026,0.017736,-0.000144,0.000108,0.0307733333
16.1,0.0328,0.0040346667,0.02048,-0.0007306667,-0.0007306667,0.005272,0.0036746667,0.003176,0.0081493333,0.003096,0.032,-0.0207266667,-0.02424,0.0099133333,-0.0261666667,-0.0119933333,-0.0122266667,-0.00786,0.032,0.020312,0.017712,-0.00014,0.000108,0.0308933333
16.12,0.0328,0.0040346667,0.020456,-0.0008106667,-0.0008106667,0.005384,0.0036746667,0.00304,0.0082133333,0.002984,0.032,-0.0209066667,-0.02426,0.0099133333,-0.0262866667,-0.0120133333,-0.0123066667,-0.008,0.032,0.02032,0.017632,-0.000144,0.000108,0.0309733333
16.14,0.0312,0.0039866667,0.020376,-0.0008426667,-0.0008426667,0.005384,0.0035706667,0.00304,0.0081573333,0.002968,0.0328,-0.0210466667,-0.02428,0.0098533333,-0.0264066667,-0.0120133333,-0.0123866667,-0.00812,0.032,0.020376,0.017552,-0.000144,0.000108,0.0310333333
16.16,0.0312,0.0038986667,0.020488,-0.0008426667,-0.0008426667,0.005304,0.0035386667,0.003112,0.0081733333,0.002936,0.032,-0.0211866667,-0.02434,0.0097733333,-0.0265066667,-0.0120333333,-0.0125266667,-0.00826,0.0312,0.02034,0.017476,-0.00014,0.000096,0.0311133333
16.18,0.0312,0.0038666667,0.020648,-0.0007946667,-0.0007946667,0.005184,0.0035226667,0.003184,0.0081653333,0.00284,0.0312,-0.0213666667,-0.02442,0.0097133333,-0.0265866667,-0.0120733333,-0.0125866667,-0.00842,0.032,0.020312,0.017404,-0.000144,0.000104,0.0311733333
16.2,0.032,0.0038026667,0.020712,-0.0007706667,-0.0007706667,0.00508,0.0035146667,0.003256,0.0081973333,0.002888,0.0312,-0.0214866667,-0.02446,0.0096333333,-0.0266466667,-0.0121133333,-0.0126866667,-0.00858,0.032,0.020212,0.017292,-0.000144,0.000108,0.0312733333
16.22,0.032,0.0036666667,0.02092,-0.0007386667,-0.0007386667,0.005088,0.0034426667,0.003256,0.0081813333,0.002952,0.032,-0.0215266667,-0.02452,0.0095933333,-0.0267066667,-0.0121133333,-0.0127466667,-0.00868,0.032,0.020088,0.017216,-0.000136,0.000096,0.0313333333
16.24,0.032,0.0035466667,0.020904,-0.0007226667,-0.0007226667,0.005128,0.0035466667,0.003128,0.0081573333,0.00284,0.032,-0.0216866667,-0.02456,0.0095533333,-0.0268266667,-0.0121533333,-0.0128466667,-0.00874,0.032,0.02,0.0172,-0.00014,0.000096,0.0314133333
16.26,0.032,0.0034426667,0.020928,-0.0007546667,-0.0007546667,0.005184,0.0034026667,0.003056,0.0079973333,0.002792,0.032,-0.0218066667,-0.02456,0.0095133333,-0.0269266667,-0.0121533333,-0.0129666667,-0.00886,0.032,0.019912,0.017144,-0.00014,0.0001,0.0315133333
16.28,0.0312,0.0032666667,0.02104,-0.0007706667,-0.0007706667,0.005192,0.0034266667,0.003112,0.0081013333,0.0026,0.032,-0.0218866667,-0.0246,0.0094733333,-0.0270466667,-0.0121933333,-0.0130266667,-0.00902,0.032,0.01982,0.0171,-0.00014,0.000108,0.0315733333
16.3,0.0312,0.0031706667,0.021064,-0.0008746667,-0.0008746667,0.005064,0.0032426667,0.003088,0.0081013333,0.002696,0.0312,-0.0220066667,-0.02466,0.0093933333,-0.0271466667,-0.0121933333,-0.0131466667,-0.00922,0.032,0.019652,0.017064,-0.000132,0.000108,0.0316533333
16.32,0.032,0.0031786667,0.02096,-0.0009226667,-0.0009226667,0.004984,0.0031786667,0.00296,0.0079973333,0.0028,0.032,-0.0221466667,-0.0247,0.0093533333,-0.0272666667,-0.0122133333,-0.0132266667,-0.00932,0.032,0.01956,0.01704,-0.000136,0.00012,0.0317133333
